"BOOT_IMAGE",CPUs,HWalign,Mfr,MinObjects,"NR_CPUS",Nodes,Order,Product,SerialNumber,"_raw","_time",agent,alloc,apic1,apic2,apparmor,"audit_enabled",auto,"bucket_order",caller,comm,component,controlPort,crc32c,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",decodes,"default_hierarchy","duration_seconds",err,eventtype,fd,file,host,id,idProduct,idVendor,"illegal_access",index,integration,label,"language_name","last_pfn",layoutcode,level,linecount,locale,locks,lpj,"max_arch_pfn","max_order",msg,name,"nr_cpu_ids",operation,owns,pci,pid,pin1,pin2,priority,profile,protocols,punct,rc,"rcu_fanout_leaf",res,root,shortlist,size,software,source,sourcetype,"splunk_server","splunk_server_group",state,sto,"supported_locales",swVersion,timeendpos,"timestamp_bits",timestartpos,ts,type,uid,unit,vector,workerName,"x_info","x_pid"
,,,,,,,,,,"Oct 12 18:40:30 automation systemd[1]: Started Session 3 of user isaac.","2025-10-12T18:40:30.000+0000",,,,,,,,,,,,,,18,12,40,october,30,sunday,2025,local,,,,,,,,automation,,,,,"weather_index_report",,,,,,,1,,,,,,,,,,,,,,,,,,"__::__[]:______.",,,,,,,,"weather-data (1)","weather_data",automation,,,,,,16,,0,,,,,,,,
,,,,,,,,,,"Oct 12 18:40:05 automation systemd[1]: Started User Manager for UID 1000.","2025-10-12T18:40:05.000+0000",,,,,,,,,,,,,,18,12,40,october,5,sunday,2025,local,,,,,,,,automation,,,,,"weather_index_report",,,,,,,1,,,,,,,,,,,,,,,,,,"__::__[]:______.",,,,,,,,"weather-data (1)","weather_data",automation,,,,,,16,,0,,,,,,,,
,,,,,,,,,,"Oct 12 18:40:05 automation systemd[2166]: Startup finished in 689ms.","2025-10-12T18:40:05.000+0000",,,,,,,,,,,,,,18,12,40,october,5,sunday,2025,local,,,,,,,,automation,,,,,"weather_index_report",,,,,,,1,,,,,,,,,,,,,,,,,,"__::__[]:____.",,,,,,,,"weather-data (1)","weather_data",automation,,,,,,16,,0,,,,,,,,
,,,,,,,,,,"Oct 12 18:40:05 automation systemd[2166]: Reached target Default.","2025-10-12T18:40:05.000+0000",,,,,,,,,,,,,,18,12,40,october,5,sunday,2025,local,,,,,,,,automation,,,,,"weather_index_report",,,,,,,1,,,,,,,,,,,,,,,,,,"__::__[]:___.",,,,,,,,"weather-data (1)","weather_data",automation,,,,,,16,,0,,,,,,,,
,,,,,,,,,,"Oct 12 18:40:05 automation systemd[2166]: Reached target Basic System.","2025-10-12T18:40:05.000+0000",,,,,,,,,,,,,,18,12,40,october,5,sunday,2025,local,,,,,,,,automation,,,,,"weather_index_report",,,,,,,1,,,,,,,,,,,,,,,,,,"__::__[]:____.",,,,,,,,"weather-data (1)","weather_data",automation,,,,,,16,,0,,,,,,,,
,,,,,,,,,,"Oct 12 18:40:05 automation systemd[2166]: Reached target Sockets.","2025-10-12T18:40:05.000+0000",,,,,,,,,,,,,,18,12,40,october,5,sunday,2025,local,,,,,,,,automation,,,,,"weather_index_report",,,,,,,1,,,,,,,,,,,,,,,,,,"__::__[]:___.",,,,,,,,"weather-data (1)","weather_data",automation,,,,,,16,,0,,,,,,,,
,,,,,,,,,,"Oct 12 18:40:05 automation systemd[2166]: Listening on D-Bus User Message Bus Socket.","2025-10-12T18:40:05.000+0000",,,,,,,,,,,,,,18,12,40,october,5,sunday,2025,local,,,,,,,,automation,,,,,"weather_index_report",,,,,,,1,,,,,,,,,,,,,,,,,,"__::__[]:___-____.",,,,,,,,"weather-data (1)","weather_data",automation,,,,,,16,,0,,,,,,,,
,,,,,,,,,,"Oct 12 18:40:05 automation systemd[2166]: Listening on GnuPG network certificate management daemon.","2025-10-12T18:40:05.000+0000",,,,,,,,,,,,,,18,12,40,october,5,sunday,2025,local,,,,,,,,automation,,,,,"weather_index_report",,,,,,,1,,,,,,,,,,,,,,,,,,"__::__[]:_______.",,,,,,,,"weather-data (1)","weather_data",automation,,,,,,16,,0,,,,,,,,
,,,,,,,,,,"Oct 12 18:40:05 automation systemd[2166]: Listening on GnuPG cryptographic agent (ssh-agent emulation).","2025-10-12T18:40:05.000+0000",,,,,,,,,,,,,,18,12,40,october,5,sunday,2025,local,,,,,,,,automation,,,,,"weather_index_report",,,,,,,1,,,,,,,,,,,,,,,,,,"__::__[]:______(-_).",,,,,,,,"weather-data (1)","weather_data",automation,,,,,,16,,0,,,,,,,,
,,,,,,,,,,"Oct 12 18:40:05 automation systemd[2166]: Reached target Paths.","2025-10-12T18:40:05.000+0000",,,,,,,,,,,,,,18,12,40,october,5,sunday,2025,local,,,,,,,,automation,,,,,"weather_index_report",,,,,,,1,,,,,,,,,,,,,,,,,,"__::__[]:___.",,,,,,,,"weather-data (1)","weather_data",automation,,,,,,16,,0,,,,,,,,
